environment,condition,n_seeds,jacobian_k1_mean,jacobian_k1_ci95,jacobian_k5_mean,jacobian_k5_ci95,jacobian_k10_mean,jacobian_k10_ci95,perturbation_k1_mean,perturbation_k1_ci95,perturbation_k5_mean,perturbation_k5_ci95,perturbation_k10_mean,perturbation_k10_ci95,perturbation_k25_mean,perturbation_k25_ci95,perturbation_k50_mean,perturbation_k50_ci95,traj_div_k1_mean,traj_div_k1_ci95,traj_div_k5_mean,traj_div_k5_ci95,traj_div_k10_mean,traj_div_k10_ci95,traj_div_k25_mean,traj_div_k25_ci95,traj_div_k50_mean,traj_div_k50_ci95
stable_linear,NoReg_Large_1step,5,1.458,0.06,2.882,0.526,3.618,0.957,0.742,0.028,0.8,0.167,0.949,0.352,0.932,0.789,0.846,1.16,0.734,0.03,0.778,0.148,0.879,0.332,0.649,0.524,0.224,0.328
stable_linear,NoReg_Large_5step,5,1.164,0.031,0.978,0.036,0.695,0.036,0.528,0.029,0.315,0.042,0.171,0.019,0.041,0.006,0.003,0.0,0.537,0.028,0.303,0.037,0.19,0.026,0.039,0.007,0.003,0.0
stable_linear,NoReg_Small_1step,5,1.501,0.068,4.397,1.255,10.317,4.89,0.803,0.027,1.21,0.259,2.542,1.031,9.965,7.905,131.937,152.188,0.8,0.027,1.234,0.266,2.397,1.019,11.624,9.213,126.053,140.605
stable_linear,NoReg_Small_5step,5,1.142,0.023,1.021,0.114,0.874,0.213,0.585,0.013,0.36,0.019,0.241,0.03,0.105,0.046,0.037,0.03,0.581,0.016,0.367,0.029,0.254,0.037,0.094,0.038,0.034,0.025
stable_linear,SIGReg_Large_1step,5,2.103,0.173,10.545,2.108,14.719,2.507,1.163,0.016,3.226,0.337,5.16,0.755,7.732,3.057,266.242,358.819,1.182,0.037,3.616,0.261,4.981,0.787,11.425,9.926,401.064,408.249
stable_linear,SIGReg_Large_5step,5,1.878,0.13,6.253,1.162,5.884,1.833,0.914,0.015,1.686,0.261,1.524,0.346,0.224,0.033,0.055,0.02,0.925,0.014,1.766,0.132,1.77,0.3,0.215,0.027,0.082,0.086
stable_linear,SIGReg_Small_1step,5,1.874,0.095,9.561,1.899,20.071,7.64,1.174,0.019,3.178,0.364,6.038,2.366,29.15,15.66,952.419,873.118,1.186,0.017,3.145,0.212,5.321,0.93,30.788,18.087,689.844,887.249
stable_linear,SIGReg_Small_5step,5,1.644,0.034,5.602,0.84,6.311,1.776,1.033,0.01,1.738,0.162,1.653,0.378,0.245,0.068,0.028,0.019,1.023,0.015,1.753,0.075,1.53,0.06,0.227,0.054,0.019,0.005
spiral_2d,NoReg_Large_1step,5,1.382,0.06,2.786,0.446,3.7,0.879,0.721,0.072,0.885,0.114,1.033,0.231,1.128,0.395,1.255,0.702,0.709,0.078,0.847,0.14,0.995,0.243,1.123,0.455,1.285,0.731
spiral_2d,NoReg_Large_5step,5,1.256,0.064,2.066,0.528,2.677,0.772,0.549,0.026,0.565,0.092,0.672,0.18,0.782,0.353,0.875,0.538,0.516,0.023,0.563,0.08,0.683,0.181,0.686,0.188,0.8,0.393
spiral_2d,NoReg_Small_1step,5,1.474,0.123,3.419,0.837,4.8,1.253,0.745,0.076,1.059,0.257,1.319,0.373,2.037,1.164,2.964,1.953,0.751,0.081,1.056,0.244,1.347,0.332,1.964,1.095,2.842,2.111
spiral_2d,NoReg_Small_5step,5,1.266,0.077,2.148,0.483,2.915,0.968,0.525,0.046,0.567,0.095,0.728,0.227,0.777,0.274,0.622,0.238,0.537,0.038,0.562,0.107,0.697,0.197,0.764,0.339,0.612,0.248
spiral_2d,SIGReg_Large_1step,5,1.295,0.028,1.871,0.051,2.239,0.092,0.767,0.015,0.604,0.029,0.615,0.025,0.844,0.031,0.942,0.125,0.768,0.016,0.629,0.027,0.615,0.043,0.813,0.058,1.027,0.092
spiral_2d,SIGReg_Large_5step,5,1.24,0.02,1.528,0.036,1.757,0.047,0.661,0.018,0.447,0.018,0.508,0.026,0.675,0.043,0.721,0.06,0.659,0.009,0.467,0.015,0.487,0.02,0.638,0.056,0.767,0.059
spiral_2d,SIGReg_Small_1step,5,1.391,0.039,2.47,0.158,3.661,0.26,0.89,0.012,0.913,0.045,1.125,0.095,2.45,0.429,6.916,4.625,0.884,0.012,0.912,0.035,1.128,0.04,2.286,0.385,5.953,2.912
spiral_2d,SIGReg_Small_5step,5,1.255,0.033,1.733,0.065,2.267,0.21,0.808,0.014,0.63,0.029,0.766,0.063,1.264,0.203,3.087,0.936,0.804,0.012,0.654,0.017,0.739,0.081,1.207,0.162,2.909,0.706
lorenz,NoReg_Large_1step,5,1.296,0.022,2.879,0.109,5.303,0.672,0.955,0.05,1.201,0.109,1.814,0.183,5.535,1.338,37.349,31.3,0.956,0.056,1.183,0.1,1.839,0.243,5.772,1.399,40.335,30.74
lorenz,NoReg_Large_5step,5,1.2,0.033,1.844,0.138,2.605,0.204,0.587,0.022,0.543,0.04,0.606,0.054,0.941,0.106,1.523,0.381,0.601,0.035,0.532,0.049,0.647,0.088,0.976,0.117,1.401,0.221
lorenz,NoReg_Small_1step,5,1.363,0.075,3.279,0.525,5.562,0.866,1.008,0.007,1.309,0.096,1.875,0.191,3.332,0.245,4141.211,8102.628,1.004,0.009,1.304,0.068,1.87,0.137,3.187,0.426,6.234,3.258
lorenz,NoReg_Small_5step,5,1.25,0.065,2.168,0.392,3.257,0.745,0.813,0.066,0.855,0.13,1.023,0.251,1.397,0.3,2.412,0.968,0.817,0.06,0.849,0.121,1.013,0.194,1.361,0.364,2.177,0.593
lorenz,SIGReg_Large_1step,5,2.34,0.118,14.743,1.492,61.472,10.497,1.123,0.035,3.939,0.44,13.929,3.247,279.616,87.044,47822.094,47478.753,1.115,0.018,4.089,0.732,13.773,1.828,271.987,99.431,59009.814,91236.06
lorenz,SIGReg_Large_5step,5,1.42,0.04,3.471,0.359,6.545,0.616,0.789,0.016,0.946,0.046,1.607,0.12,3.478,0.438,4.207,0.856,0.786,0.011,0.971,0.049,1.593,0.122,3.283,0.346,4.144,0.366
lorenz,SIGReg_Small_1step,5,1.906,0.109,14.851,4.454,108.488,51.684,1.144,0.036,4.312,0.937,23.901,10.004,2180.914,1410.168,6476826.345,7958682.504,1.144,0.048,4.384,1.027,23.712,7.593,1853.796,1104.079,7155360.449,11473232.562
lorenz,SIGReg_Small_5step,5,1.419,0.04,3.396,0.222,6.596,0.28,0.885,0.008,1.11,0.049,1.68,0.107,4.641,1.484,21.241,18.823,0.893,0.015,1.189,0.072,1.815,0.209,4.432,0.896,17.715,11.495
